neighborhood,library_open,temporary_shelter,day_center,coord_reentry,group_therapy,showers,meals,food_box,laundry,health_services,misc_services,number_of_locations,final_resource_calc,homeless_camps
Alameda,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Arbor Lodge,0,0,0,0,0,0,0,0,0,0,0,0,0,287
Ardenwald-Johnson Creek,1,0,1,0,0,1,0,1,0,1,1,1,6,189
Argay Terrace,0,0,0,0,0,0,0,0,0,0,0,0,0,601
Arlington Heights,0,0,0,0,0,0,0,0,0,0,0,0,0,51
Arnold Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Ashcreek,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Beaumont-Wilshire,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Boise,0,0,0,0,0,0,0,0,0,0,0,0,0,184
Brentwood-Darlington,1,0,1,0,0,1,0,0,0,0,0,1,3,721
Bridgeton,0,0,0,0,0,0,0,0,0,0,0,0,0,56
Bridlemile,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Brooklyn,0,0,0,0,0,0,0,0,0,0,0,0,0,792
Buckman,1,0,1,0,0,1,0,0,0,0,0,1,3,2223
Cathedral Park,0,0,0,0,0,0,0,0,0,0,0,0,0,608
Centennial,1,0,1,0,0,1,0,0,0,1,1,1,5,1562
Collins View,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Concordia,2,0,1,0,0,1,2,0,2,2,2,2,12,290
Creston-Kenilworth,0,0,0,0,0,0,0,0,0,0,0,0,0,470
Crestwood,0,0,0,0,0,0,0,0,0,0,0,0,0,58
Cully,0,0,0,0,0,0,0,0,0,0,0,0,0,445
East Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,532
Eastmoreland,0,0,0,0,0,0,0,0,0,0,0,0,0,241
Eliot,2,0,0,1,0,0,0,0,0,0,1,2,4,1015
Far Southwest,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Forest Park,0,0,0,0,0,0,0,0,0,0,0,0,0,62
Foster-Powell,1,0,0,0,0,0,0,0,0,0,0,1,1,969
Glenfair,0,0,0,0,0,0,0,0,0,0,0,0,0,208
Goose Hollow,2,1,0,1,1,0,0,1,0,0,1,2,7,681
Grant Park,0,0,0,0,0,0,0,0,0,0,0,0,0,68
Hayden Island,0,0,0,0,0,0,0,0,0,0,0,0,0,141
Hayhurst,0,0,0,0,0,0,0,0,0,0,0,0,0,36
Hazelwood,1,0,0,0,0,0,0,1,0,0,1,1,3,2193
Hillsdale,1,0,0,0,0,0,0,0,0,0,0,1,1,236
Hillside,0,0,0,0,0,0,0,0,0,0,0,0,0,67
Hollywood,0,0,0,0,0,0,0,0,0,0,0,1,0,226
Homestead,1,0,0,0,1,0,0,0,0,0,0,1,2,80
Hosford-Abernethy,1,1,0,0,0,0,0,0,1,0,1,1,4,1481
Humboldt,2,1,0,0,0,0,0,1,0,0,1,2,5,151
Irvington,0,0,0,0,0,0,0,0,0,0,0,0,0,188
Kenton,1,0,0,0,0,0,0,0,0,0,0,1,1,655
Kerns,1,0,0,0,1,0,0,0,0,0,0,1,2,854
King,2,1,0,0,1,1,0,0,1,0,1,2,7,120
Laurelhurst,0,0,0,0,0,0,0,0,0,0,0,0,0,342
Lents,0,0,0,0,0,0,0,0,0,0,0,0,0,3389
Linnton,0,0,0,0,0,0,0,0,0,0,0,0,0,46
Lloyd,0,0,0,0,0,0,0,0,0,0,0,0,0,1146
Madison South,0,0,0,0,0,0,0,0,0,0,0,0,0,558
Maplewood,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Markham,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Marshall Park,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Mc Unclaimed #11,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Mc Unclaimed #13,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mc Unclaimed #14,0,0,0,0,0,0,0,0,0,0,0,0,0,366
Mill Park,4,1,0,0,2,0,1,0,0,0,1,4,9,503
Montavilla,4,0,2,1,1,1,1,1,0,1,2,4,14,1355
Mt. Scott-Arleta,1,1,0,0,0,0,0,0,1,0,1,1,4,399
Mt. Scott-Arleta Neighborhood,1,0,0,0,1,0,0,0,0,0,0,1,2,0
Mt. Tabor,1,0,1,0,0,1,0,0,0,0,1,1,4,119
Multnomah,1,0,0,0,1,0,0,0,0,0,0,1,2,268
Nan,0,0,0,0,0,0,0,0,0,0,0,0,0,302
North Tabor,1,1,0,0,0,0,0,0,0,0,1,1,3,171
Northwest District,2,0,0,0,0,0,1,0,1,0,1,2,5,1748
Northwest Heights,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Old Town,3,0,2,1,0,2,0,0,0,0,2,3,10,1197
Overlook,1,0,0,0,1,0,0,0,0,0,0,1,2,733
Parkrose,0,0,0,0,0,0,0,0,0,0,0,0,0,935
Parkrose Heights,1,0,0,0,1,0,1,0,0,0,0,1,3,355
Pearl District,1,1,0,0,0,1,0,0,1,0,1,1,5,707
Piedmont,0,0,0,0,0,0,0,0,0,0,0,0,0,383
Pleasant Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,673
Portland Downtown,3,0,2,0,0,2,2,0,2,0,0,3,11,1624
Portsmouth,0,0,0,0,0,0,0,0,0,0,0,0,0,378
Powellhurst-Gilbert,3,1,2,0,0,2,0,0,1,0,2,3,11,1866
Reed,0,0,0,0,0,0,0,0,0,0,0,0,0,460
Richmond,2,0,0,0,2,0,0,0,0,0,0,2,4,457
Rockwood,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Rose City Park,0,0,0,0,0,0,0,0,0,0,0,0,0,266
Roseway,1,0,0,0,0,0,0,0,0,0,0,1,1,103
Russell,1,0,1,0,0,1,0,0,0,1,1,1,5,184
Sabin,0,0,0,0,0,0,0,0,0,0,0,0,0,36
Sellwood-Moreland,1,1,0,0,0,1,0,0,1,0,1,2,5,977
South Burlingame,0,0,0,0,0,0,0,0,0,0,0,0,0,36
South Portland,0,0,0,0,0,0,0,0,0,0,0,0,0,694
South Tabor,0,0,0,0,0,0,0,0,0,0,0,0,0,132
Southwest Hills,0,0,0,0,0,0,0,0,0,0,0,0,0,156
St. Johns,1,1,0,0,0,1,1,0,1,1,1,2,7,806
Sullivan'S Gulch,0,0,0,0,0,0,0,0,0,0,0,0,0,257
Sumner,0,0,0,0,0,0,0,0,0,0,0,0,0,460
Sunderland,0,0,0,0,0,0,0,0,0,0,0,0,0,175
Sunnyside,0,0,0,0,0,0,0,0,0,0,0,1,0,408
Sylvan-Highlands,0,0,0,0,0,0,0,0,0,0,0,0,0,43
University Park,0,0,0,0,0,0,0,0,0,0,0,0,0,143
Vernon,0,0,0,0,0,0,0,0,0,0,0,0,0,8
West Haven-Sylvan,1,0,0,0,1,0,0,0,0,0,0,1,2,0
West Portland Park,1,0,0,0,0,0,0,0,0,0,0,1,1,86
Wilkes,0,0,0,0,0,0,0,0,0,0,0,0,0,561
Woodland Park,0,0,0,0,0,0,0,0,0,0,0,0,0,41
Woodlawn,0,0,0,0,0,0,0,0,0,0,0,0,0,199
Woodstock,1,0,1,0,0,1,0,0,0,1,1,2,5,395
